"date","bus","rail_boardings","total_rides"
2022-11-30,"471,180","342,095","813,275"
2022-12-01,"494,028","351,763","845,791"
2022-12-02,"490,109","327,826","817,935"
2022-12-03,"302,524","235,937","538,461"
2022-12-04,"219,158","175,364","394,522"
2022-12-05,"473,036","301,290","774,326"
2022-12-06,"491,402","343,974","835,376"
2022-12-07,"501,570","348,450","850,020"
2022-12-08,"491,122","354,293","845,415"
2022-12-09,"434,379","310,116","744,495"
2022-12-10,"301,199","250,406","551,605"
2022-12-11,"217,920","181,270","399,190"
2022-12-12,"461,205","309,804","771,009"
2022-12-13,"488,778","350,345","839,123"
2022-12-14,"460,656","334,180","794,836"
2022-12-15,"479,951","357,938","837,889"
2022-12-16,"438,828","317,559","756,387"
2022-12-17,"273,704","221,530","495,234"
2022-12-18,"205,652","168,395","374,047"
2022-12-19,"422,466","271,588","694,054"
2022-12-20,"458,350","301,658","760,008"
2022-12-21,"449,539","293,415","742,954"
2022-12-22,"334,740","211,520","546,260"
2022-12-23,"154,576","107,314","261,890"
2022-12-24,"150,459","94,387","244,846"
2022-12-25,"85,188","55,366","140,554"
2022-12-26,"205,368","123,005","328,373"
2022-12-27,"315,154","202,638","517,792"
2022-12-28,"321,472","212,073","533,545"
2022-12-29,"347,158","231,287","578,445"
2022-12-30,"364,899","243,067","607,966"
2022-12-31,"257,498","181,031","438,529"
2023-01-01,"164,489","140,776","305,265"
2023-01-02,"254,124","165,797","419,921"
2023-01-03,"383,247","275,846","659,093"
2023-01-04,"398,456","292,474","690,930"
2023-01-05,"384,238","292,708","676,946"
2023-01-06,"371,923","258,636","630,559"
2023-01-07,"272,633","183,930","456,563"
2023-01-08,"209,397","145,377","354,774"
2023-01-09,"449,465","296,803","746,268"
2023-01-10,"499,769","345,615","845,384"
2023-01-11,"499,126","343,468","842,594"
2023-01-12,"474,679","340,171","814,850"
2023-01-13,"443,233","292,169","735,402"
2023-01-14,"288,502","201,672","490,174"
2023-01-15,"220,389","154,138","374,527"
2023-01-16,"295,880","196,321","492,201"
2023-01-17,"496,926","344,762","841,688"
2023-01-18,"495,410","346,875","842,285"
2023-01-19,"479,283","347,238","826,521"
2023-01-20,"457,848","296,350","754,198"
2023-01-21,"285,487","196,802","482,289"
2023-01-22,"201,809","140,538","342,347"
2023-01-23,"468,304","307,836","776,140"
